File	ALIGNMENT_PERCENT_BLANKS_MARKER	ALIGNMENT_BLANKS_COUNT	ALIGNMENT_GAPS_COUNT	ALIGNMENT_ROWS_COUNT	ALIGNMENT_COLUMNS_COUNT	ALIGNMENT_AVERAGE_GAPS_PER_SEQUENCE	ALIGNMENT_AVERAGE_GAP_LENGTH	ALIGNMENT_STDDEV_GAP_LENGTH	ALIGNMENT_MEDIAN_GAP_LENGTH	ALIGNMENT_MNHD	ALIGNMENT_ANHD
./aln_stats/large_sparse_TRUE_4.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.364	0.2461502041
./aln_stats/large_sparse_TRUE_16.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.368	0.2623755102
./aln_stats/small_dense_TRUE_11.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.196	0.06302465934
./aln_stats/small_dense_TRUE_14.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.174	0.05318504296
./aln_stats/small_sparse_TRUE_13.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.108	0.05056326531
./aln_stats/moderate_dense_TRUE_15.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.338	0.2059939021
./aln_stats/small_dense_TRUE_17.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.158	0.0488541019
./aln_stats/small_sparse_TRUE_17.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.124	0.05560816327
./aln_stats/large_dense_TRUE_3.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.426	0.264433039
./aln_stats/small_dense_TRUE_15.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.166	0.05146378821
./aln_stats/large_dense_TRUE_5.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.416	0.2581799041
./aln_stats/large_sparse_TRUE_10.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.352	0.2562530612
./aln_stats/small_dense_TRUE_1.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.172	0.052609003
./aln_stats/large_dense_TRUE_9.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.38	0.2501002238
./aln_stats/moderate_sparse_TRUE_14.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.344	0.2211281633
./aln_stats/large_dense_TRUE_4.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.408	0.2376793447
./aln_stats/small_dense_TRUE_9.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.162	0.05505615185
./aln_stats/large_sparse_TRUE_12.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.366	0.2367526531
./aln_stats/large_dense_TRUE_14.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.406	0.2531771828
./aln_stats/large_sparse_TRUE_18.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.374	0.249957551
./aln_stats/moderate_sparse_TRUE_5.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.306	0.203115102
./aln_stats/small_dense_TRUE_6.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.158	0.04633772228
./aln_stats/large_dense_TRUE_7.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.416	0.2525877443
./aln_stats/small_sparse_TRUE_16.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.122	0.05625959184
./aln_stats/moderate_sparse_TRUE_2.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.3	0.1954595918
./aln_stats/moderate_dense_TRUE_4.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.342	0.1899778581
./aln_stats/large_sparse_TRUE_1.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.41	0.2827738776
./aln_stats/small_sparse_TRUE_3.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.108	0.04704163265
./aln_stats/large_dense_TRUE_2.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.39	0.2487053866
./aln_stats/small_sparse_TRUE_12.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.116	0.05616326531
./aln_stats/moderate_dense_TRUE_20.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.36	0.1875688951
./aln_stats/moderate_dense_TRUE_16.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.376	0.2160627852
./aln_stats/small_dense_TRUE_8.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.18	0.05433333467
./aln_stats/large_dense_TRUE_15.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.416	0.2430856344
./aln_stats/large_sparse_TRUE_13.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.338	0.2547738776
./aln_stats/large_sparse_TRUE_14.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.328	0.2340457143
./aln_stats/moderate_sparse_TRUE_8.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.3	0.1978857143
./aln_stats/moderate_dense_TRUE_6.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.348	0.1956544655
./aln_stats/small_dense_TRUE_10.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.174	0.04910730869
./aln_stats/moderate_sparse_TRUE_12.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.324	0.2055216327
